feature,importance
"Cuisines_South Indian, North Indian, Chinese, Biryani",0.0
Cuisines_Sandwich,0.0
"Cuisines_Biryani, Fast Food",0.0
"Cuisines_Cafe, Tea, Street Food",0.0
"Cuisines_Biryani, North Indian, Chinese, Andhra, South Indian",0.0
"Cuisines_Bar Food, North Indian, Italian, Continental",0.0
"Cuisines_North Indian, Chinese, Italian, Finger Food, American",0.0
"Cuisines_Biryani, Mughlai, North Indian, Chinese",0.0
"Cuisines_Fast Food, Biryani, North Indian",0.0
"Cuisines_North Indian, Chinese, Thai, European, Italian",0.0
"Cuisines_Konkan, Maharashtrian",0.0
"Cuisines_Cafe, Beverages, Fast Food, Desserts",0.0
"Cuisines_Odia, Bengali, Salad, North Indian",0.0
"Cuisines_Cafe, Beverages, Bakery",0.0
"Cuisines_Italian, Pizza, Burger",0.0
"Cuisines_Bakery, Desserts, Ice Cream",0.0
"Cuisines_Fast Food, North Eastern, Momos",0.0
Cuisines_Tibetan,0.0
Cuisines_Paan,0.0
"Cuisines_Biryani, Kebab",0.0
"Cuisines_Street Food, North Indian, Mithai",0.0
"Cuisines_Pizza, Italian, Beverages",0.0
"Cuisines_Beverages, Desserts, Juices",0.0
"Cuisines_North Indian, Continental, Asian, Pizza",0.0
"Cuisines_Juices, Beverages",0.0
"Cuisines_Continental, Desserts, Beverages, Sandwich",0.0
"Cuisines_Salad, European, Steak, Healthy Food, Beverages, Finger Food",0.0
"Cuisines_Ice Cream, Paan, Desserts",0.0
"Cuisines_Chinese, Biryani",0.0
"Cuisines_Cafe, Chinese, Italian",0.0
"Cuisines_Wraps, Fast Food",0.0
"Cuisines_Lebanese, North Indian, Mediterranean, Biryani, Rolls, Fast Food",0.0
"Cuisines_Street Food, Desserts",0.0
"Cuisines_Continental, Italian, North Indian, Chinese",0.0
"Cuisines_Continental, North Indian, Mughlai, Chinese, Italian",0.0
"Cuisines_Biryani, North Indian, Maharashtrian",0.0
"Cuisines_American, Fast Food",0.0
"Cuisines_Mediterranean, European, Continental",0.0
"Cuisines_Chinese, Mughlai",0.0
"Cuisines_Andhra, Biryani, Chinese",0.0
"Cuisines_Mughlai, North Indian, Chinese, Seafood",0.0
"Cuisines_Fast Food, Italian",0.0
Cuisines_Lebanese,0.0
"Cuisines_Biryani, Chinese, North Indian",0.0
"Cuisines_Bohri, Biryani",0.0
"Cuisines_Rolls, North Indian, Chinese",0.0
"Cuisines_South Indian, Beverages",0.0
